,words,descriptions
93,proeliīs,ablative
94,ūna,cardinal
95,contendunt,active
96,Celtae,dative
97,prohibent,indicative
98,eōrum,genitive
99,appellantur,not deponent
100,gerunt,3rd person
101,omnium,plural
102,flūminis,singular
103,Celtae,masculine
104,pertinent,not deponent
105,initium,nominative
106,quā,ablative
107,etiam,adverb
108,eam,accusative
109,quārum,pronoun
110,flūmine,singular
111,pertinet,not deponent
112,incolunt,3rd person
113,Belgārum,genitive
114,contendunt,plural
115,appellantur,3rd person
116,hī,demonstrative
117,oriuntur,present
118,est,singular
119,quod,nominative
120,bellum,nominative
121,hōrum,masculine
122,quā,relative
123,sōlem,accusative
124,quārum,interrogative
125,ipsōrum,neuter
126,sōlis,singular
127,contendunt,indicative
128,linguā,singular
129,dīvīsa,passive
130,pertinet,3rd person
131,trēs,nominative
132,suīs,ablative
133,partēs,feminine
134,dīvīsa,neuter
135,gerunt,active
136,ea,nominative
137,absunt,plural
138,oriuntur,deponent
139,appellantur,passive
140,quae,nominative
141,Hispāniam,singular
142,dīvidit,not deponent
143,Belgīs,plural
144,sē,ablative
145,ā,preposition w/ abl.
146,-que,conjunction
147,partem,singular
148,proximī,genitive
149,fīnibus,feminine
150,oriuntur,plural
151,fīnibus,dative
152,longissimē,superlative
153,Gallia,singular
154,Gallia,feminine
155,pars,feminine
156,gerunt,plural
157,quibus,pronoun
158,quā,adjective
159,aliam,pronominal
160,capit,present
161,flūmen,neuter
162,virtūte,ablative
163,linguā,feminine
164,capit,singular
165,fortissimī,masculine
166,Galliae,singular
167,eam,demonstrative
168,ipsī,nominative
169,spectant,present
170,eōrum,neuter
171,Belgārum,plural
172,incolunt,present
173,appellantur,present
174,ea,accusative
175,ūnam,accusative
176,sunt,3rd person
177,est,present
178,dīvidit,active
179,fortissimī,superlative
180,spectant,plural
181,proximī,superlative
182,quae,neuter
183,oriuntur,3rd person
184,mercātōrēs,accusative
185,eam,3rd person
186,prohibent,present
187,occāsum,masculine
188,flūmen,nominative
189,Hispāniam,accusative
190,continenter,participle
191,animōs,plural
192,omnēs,positive
193,omnēs,masculine
194,continētur,present
195,quī,pronoun
196,prōvinciae,dative
197,longissimē,adjective
198,dīvīsa,feminine
199,contendunt,not deponent
200,eōrum,demonstrative
201,Belgīs,nominative
202,cotīdiānīs,genitive
203,quārum,adjective
204,montēs,nominative
205,trēs,masculine
206,in,preposition w/ abl.
207,Celtae,nominative
208,mercātōrēs,nominative
209,longissimē,adverb
210,ab,preposition w/ abl.
211,trēs,plural
212,partēs,accusative
213,omnium,comparative
214,pertinent,3rd person
215,Galliae,feminine
216,initium,neuter
217,omnēs,accusative
218,tertiam,feminine
219,omnis,positive
220,orientem,deponent
221,sē,3rd person
222,proximī,masculine
223,obtinēre,2nd person
224,est,3rd person
225,quārum,plural
226,Gallia,nominative
227,sōlem,masculine
228,absunt,not deponent
229,dictum est,not deponent
230,eōrum,masculine
231,capit,active
232,quī,interrogative
233,spectant,active
234,pars,nominative
235,ūnam,feminine
236,orientem,active
237,Belgīs,dative
238,tertiam,accusative
239,quae,adjective
240,quam,interrogative
241,Galliae,dative
242,aliam,accusative
243,sōlis,genitive
244,eōs,masculine
245,Belgae,dative
246,causā,ablative
247,spectat,future perfect
248,proeliīs,neuter
249,proeliīs,dative
250,sē,reflexive
251,spectat,singular
252,cotīdiānīs,positive
253,eōs,plural
254,omnēs,plural
255,montēs,plural
256,quae,relative
257,sunt,indicative
258,contendunt,present
259,mercātōrēs,masculine
260,dictum est,indicative
261,hī,nominative
262,trēs,feminine
263,dīvidit,singular
264,omnis,singular
265,obtinēre,singular
266,omnium,positive
267,prohibent,plural
268,bellum,accusative
269,Celtae,genitive
270,virtūte,singular
271,fortissimī,neuter
272,incolunt,plural
273,tertiam,positive
274,quam,accusative
275,gerunt,indicative
276,ipsī,adjective
277,aliam,positive
278,est,indicative
279,quod,adjective
280,dictum est,passive
281,sōlem,singular
282,hōrum,genitive
283,ūna,feminine
284,continētur,singular
285,quārum,genitive
286,absunt,3rd person
287,quae,pronoun
288,omnēs,nominative
289,Germānīs,dative
290,ūnam,singular
291,hī,masculine
292,eam,feminine
293,pertinent,active
294,proximī,nominative
295,oriuntur,indicative
296,trēs,cardinal
297,continenter,active
298,quā,singular
299,orientem,feminine
300,pertinet,indicative
301,Belgīs,ablative
302,lēgibus,dative
303,quod,neuter
304,obtinēre,imperative
305,dictum est,3rd person
306,Hispāniam,feminine
307,spectat,active
308,initium,accusative
309,minimē,superlative
310,virtūte,feminine
311,quā,interrogative
312,Belgae,masculine
313,hōrum,neuter
314,fīnibus,ablative
315,appellantur,subjunctive
316,montēs,masculine
317,fīnibus,plural
318,animōs,masculine
319,continētur,3rd person
320,dīvidit,3rd person
321,quod,pronoun
322,suīs,3rd person
323,omnium,genitive
324,ea,neuter
325,prohibent,active
326,sē,pronoun
327,absunt,indicative
328,obtinēre,infinitive
329,quae,accusative
330,ipsōrum,adjective
331,omnis,nominative
332,eōs,accusative
333,continenter,present
334,cotīdiānīs,dative
335,suīs,possessive
336,Belgae,genitive
337,sunt,plural
338,ipsōrum,genitive
339,dictum est,singular
340,flūminis,genitive
341,dīvidit,present
342,quam,singular
343,quibus,interrogative
344,appellantur,plural
345,lēgibus,feminine
346,obtinēre,not deponent
347,ea,demonstrative
348,quārum,relative
349,cotīdiānīs,plural
350,minimē,adverb
351,continētur,not deponent
352,sōlis,masculine
353,flūmen,accusative
354,continētur,passive
355,eōs,demonstrative
356,pertinet,present
357,animōs,accusative
358,ūnam,positive
359,suīs,reflexive
360,quam,feminine
361,ūna,pronominal
362,spectant,3rd person
363,reliquōs,accusative
364,continenter,not deponent
365,Germānīs,ablative
366,quam,relative
367,trēs,accusative
368,dīvīsa,not deponent
369,dictum est,perfect
370,ipsī,pronoun
371,quibus,relative
372,continētur,indicative
373,spectat,1st person
374,ipsōrum,plural
375,spectant,singular
376,bellum,neuter
377,incolunt,indicative
378,bellum,singular
379,quibus,adjective
380,quibus,plural
381,quae,interrogative
382,spectat,present
383,quae,feminine
384,Germānīs,plural
385,lēgibus,plural
386,reliquōs,masculine
387,fortissimī,genitive
388,dictum est,neuter
389,et,adjective
390,quam,adjective
391,linguā,ablative
392,orientem,participle
393,orientem,masculine
394,quibus,ablative
395,occāsum,singular
396,quod,dative
397,dīvīsa,participle
398,continenter,positive
399,ipsōrum,masculine
400,capit,not deponent
401,quod,adverb
402,quae,ablative
403,gerunt,present
404,dīvidit,indicative
405,ūna,nominative
406,eam,singular
407,gerunt,not deponent
408,proeliīs,plural
409,prohibent,not deponent
410,quod,accusative
411,orientem,accusative
412,quibus,dative
413,ea,ablative
414,flūmen,singular
415,orientem,positive
416,capit,plural
417,pertinet,singular
418,orientem,present
419,Galliae,masculine
420,ipsōrum,ablative
421,ipsī,dative
422,dīvīsa,accusative
423,sē,2nd person
424,spectat,indicative
425,dīvīsa,positive
426,orientem,infinitive
427,pars,plural
428,initium,masculine
429,occāsum,neuter
430,et,pronoun
431,montēs,singular
432,Belgae,feminine
433,dictum est,plural
434,appellantur,semi-deponent
435,causā,nominative
436,-que,preposition w/ abl.
437,cum,preposition w/ acc.
438,pertinent,singular
439,tertiam,ablative
440,quī,neuter
441,aliam,plural
442,inter,conjunction
443,causā,accusative
444,oriuntur,2nd person
445,ūnam,neuter
446,Gallia,plural
447,quibus,reflexive
448,occāsum,dative
449,-que,adjective
450,omnium,dative
451,tertiam,plural
452,aliam,dative
453,Belgae,ablative
454,continenter,superlative
455,animōs,genitive
456,dē,adverb
457,ea,dative
458,quī,noun
459,aliam,nominative
460,ūnam,plural
461,flūmen,plural
462,prohibent,imperative
463,in,conjunction
464,prohibent,1st person
465,quā,plural
466,montēs,ablative
467,suīs,singular
468,ea,masculine
469,absunt,2nd person
470,continētur,1st person
471,pertinent,imperative
472,"gaudium
gaudium, gaudī, n.",joy
473,"fīlī
fīlius, fīlī, m.",son
474,"gentēs
gēns, gentis, f.",clan
475,"referre
referō, referre, rettulī, relātus",bring
476,"rapuit
rapiō, rapere, rapuī, raptus",recover
477,"mercēdem
mercēs, mercēdis, f.",price
478,"dedisset
dō, dare, dedī, datus",instruct
479,"trādidit
trādō, trādere, trādidī, trāditus",deliver
480,"tum
tum",next
481,"trānsportandam
trānsportō, trānsportāre, trānsportāvī, trānsportātus",transport
482,"obiciēbat
obiciō, obicere, objēcī, objectus",block
483,"dīmittere
dīmittō, dīmittere, dīmīsī, dīmissus",dismiss
484,"odor
odor, odōris, m.",odor
485,"relātus est
referō, referre, rettulī, relātus",bring back
486,"neu
neu",lest
487,"faucibus
faux, faucis, f.",throat
488,"affectus est
afficiō, afficere, affēcī, affectus",affect
489,"sacrificiō
sacrificium, sacrificī, n.",sacrifice
490,"rem
rēs, reī, f.",job
491,"balteum
balteus, balteī, m.",baby
492,"frūmentum
frūmentum, frūmentī, n.",grain
493,"gladiīs
gladius, gladī, m.",sword
494,"priusquam
priusquam",before
495,"illae
ille, illa, illud",those
496,"cōgnōscere
cōgnōscō, cōgnōscere, cōgnōvī, cōgnitus",shake
497,"nōmina
nōmen, nōminis, n.",name
498,"trēs
trēs, tria",three
499,"impositīs
impōnō, impōnere, imposuī, impositus",send into
500,"vocāvit
vocō, vocāre, vocāvī, vocātus",summon
501,"hōra
hōra, -ae, f.",hour
