,words,nots
479,fīnibus,dative
480,pertinet,plural
481,montēs,dative
482,cotīdiānīs,plural
483,initium,genitive
484,spectant,3rd person
485,hōrum,nominative
486,quārum,reflexive
487,quam,interrogative
488,obtinēre,present
489,fortissimī,ablative
490,appellantur,1st person
491,initium,feminine
492,partēs,ablative
493,bellum,dative
494,ipsōrum,relative
495,omnēs,ablative
496,eam,dative
497,Belgae,nominative
498,dictum est,not deponent
499,oriuntur,1st person
500,Hispāniam,dative
501,incolunt,future perfect
502,quārum,plural
503,inter,conjunction
504,occāsum,genitive
505,dīvīsa,participle
506,flūminis,ablative
507,capit,passive
508,quod,relative
509,quārum,accusative
510,eam,singular
511,quibus,reflexive
512,orientem,present
513,quibus,dative
514,proximī,dative
515,quibus,adjective
516,ipsī,intensive
517,bellum,ablative
518,sē,ablative
519,virtūte,masculine
520,appellantur,present
521,ipsī,ablative
522,sōlem,dative
523,lēgibus,nominative
524,oriuntur,not deponent
525,quārum,masculine
526,quibus,demonstrative
527,proeliīs,nominative
528,dictum est,perfect
529,absunt,imperative
530,orientem,singular
531,trēs,masculine
532,bellum,nominative
533,continētur,pluperfect
534,Hispāniam,ablative
535,quam,dative
536,spectat,active
537,aliam,positive
538,quod,singular
539,montēs,accusative
540,dīvidit,semi-deponent
541,incolunt,semi-deponent
542,eōrum,ablative
543,ipsī,relative
544,dē,noun
545,spectat,3rd person
546,ipsī,reflexive
547,continenter,perfect
548,reliquōs,nominative
549,eōs,masculine
550,contendunt,deponent
551,hōrum,masculine
552,trēs,ordinal
553,aliam,comparative
554,appellantur,not deponent
555,hī,dative
556,quod,plural
557,flūminis,singular
558,dīvīsa,comparative
559,eam,genitive
560,quae,interrogative
561,cotīdiānīs,comparative
562,appellantur,deponent
563,quī,pronoun
564,sōlis,dative
565,appellantur,3rd person
566,ipsī,nominative
567,Celtae,feminine
568,partem,dative
569,quā,dative
570,dīvīsa,deponent
571,prōvinciae,masculine
572,prohibent,not deponent
573,oriuntur,future perfect
574,omnēs,comparative
575,reliquōs,genitive
576,Belgae,ablative
577,sōlis,plural
578,Hispāniam,dative
579,flūmine,plural
580,flūmine,plural
581,trēs,masculine
582,et,adjective
583,orientem,singular
584,montēs,neuter
585,omnēs,superlative
586,Belgīs,neuter
587,dīvidit,deponent
588,virtūte,neuter
589,virtūte,neuter
590,virtūte,neuter
591,cum,pronoun
592,cum,pronoun
593,Belgārum,singular
594,Belgārum,singular
595,ipsōrum,plural
596,ipsōrum,plural
597,sē,3rd person
598,Belgārum,genitive
599,Belgārum,genitive
600,orientem,deponent
601,Hispāniam,plural
602,ūnam,pronominal
603,-que,pronoun
604,dīvidit,perfect
605,prohibent,indicative
606,ipsī,reflexive
607,-que,conjunction
608,-que,conjunction
609,-que,conjunction
610,initium,ablative
611,proximī,feminine
612,dē,pronoun
613,bellum,accusative
614,quod,noun
615,proximī,feminine
616,dīvidit,future perfect
617,orientem,superlative
618,orientem,superlative
619,orientem,superlative
620,continētur,plural
621,continētur,plural
622,est,imperative
623,est,imperative
624,orientem,superlative
625,eōrum,feminine
626,prohibent,2nd person
627,Belgīs,genitive
628,spectat,singular
629,incolunt,semi-deponent
630,longissimē,adjective
631,prohibent,not deponent
632,cotīdiānīs,plural
633,ipsī,intensive
634,quod,noun
635,fīnibus,genitive
636,suīs,3rd person
637,sōlem,feminine
638,etiam,pronoun
639,occāsum,feminine
640,dīvīsa,infinitive
641,dīvīsa,infinitive
642,occāsum,plural
643,occāsum,plural
644,Galliae,nominative
645,eōrum,3rd person
646,fīnibus,feminine
647,quam,noun
648,contendunt,not deponent
649,quibus,adjective
650,capit,deponent
651,ūnam,ordinal
652,quibus,pronoun
653,eōrum,3rd person
654,suīs,accusative
655,Hispāniam,accusative
656,flūmen,nominative
657,quī,nominative
658,omnis,dative
659,gerunt,future perfect
660,fortissimī,dative
661,Hispāniam,accusative
662,ipse,adjective
663,quibus,pronoun
664,incolunt,plural
665,tertiam,genitive
666,eōrum,1st person
667,Celtae,accusative
668,inter,adverb
669,hī,indefinite
670,continētur,3rd person
671,animōs,singular
672,fīnibus,feminine
673,tertiam,comparative
674,obtinēre,imperative
675,eōs,masculine
676,Germānīs,singular
677,quae,relative
678,pertinet,plural
679,cum,adverb
680,continenter,semi-deponent
681,quārum,relative
682,quārum,relative
683,animōs,genitive
684,virtūte,neuter
685,fīnibus,feminine
686,in,conjunction
687,proeliīs,ablative
688,quā,neuter
689,eōrum,genitive
690,ūna,ordinal
691,partēs,dative
692,mercātōrēs,masculine
693,Celtae,accusative
694,ipsōrum,masculine
695,Celtae,ablative
696,mercātōrēs,dative
697,eōs,nominative
698,orientem,singular
699,dīvīsa,perfect
700,in,conjunction
701,dīvīsa,gerund
702,eam,demonstrative
703,oriuntur,present
704,hī,plural
705,continenter,participle
706,Germānīs,accusative
707,pertinet,semi-deponent
708,fīnibus,neuter
709,absunt,plural
710,sē,2nd person
711,appellantur,imperative
712,gerunt,active
713,dolōrēs,dative
714,reliquōs,accusative
715,dīvīsa,neuter
716,pertinet,passive
717,fīnibus,neuter
718,-que,pronoun
719,pars,accusative
720,aliam,positive
721,dīvīsa,semi-deponent
722,quod,dative
723,cum,adverb
724,spectant,1st person
725,eōrum,ablative
726,Gallia,ablative
727,hōrum,interrogative
728,ūnam,masculine
729,ūnam,masculine
730,ūnam,masculine
731,ūnam,masculine
732,ea,possessive
733,animōs,nominative
734,capit,3rd person
735,Hispāniam,neuter
736,pars,ablative
737,pars,genitive
738,mercātōrēs,dative
739,montēs,dative
740,ipsōrum,dative
741,ipsōrum,dative
742,continētur,plural
743,sē,demonstrative
744,partēs,ablative
745,quārum,demonstrative
746,eōs,relative
747,eōs,relative
748,eōs,relative
749,ūnam,plural
750,virtūte,masculine
751,ab,pronoun
752,appellantur,semi-deponent
753,causā,dative
754,dictum est,3rd person
755,capit,3rd person
756,dē,conjunction
757,bellum,accusative
758,continētur,indicative
759,et,pronoun
760,quārum,masculine
761,dē,noun
762,minimē,superlative
763,aliam,accusative
764,spectant,present
765,eōrum,singular
766,proeliīs,masculine
767,fortissimī,superlative
768,eam,plural
769,ea,masculine
770,ā,preposition w/ acc.
771,ā,preposition w/ abl.
772,longissimē,adjective
773,fīnibus,nominative
774,dīvīsa,future perfect
775,Belgārum,plural
776,quod,adverb
777,spectant,plural
778,ipsī,adverb
779,dictum est,1st person
780,lēgibus,ablative
781,Belgīs,plural
782,pars,singular
783,quod,plural
784,Belgīs,ablative
785,animōs,genitive
786,appellantur,semi-deponent
787,ipsī,adjective
788,dē,pronoun
789,dē,preposition w/ acc.
790,spectant,perfect
791,ab,preposition w/ abl.
792,prohibent,1st person
793,trēs,feminine
794,ab,preposition w/ abl.
795,appellantur,not deponent
796,spectant,singular
797,quam,plural
798,fortissimī,masculine
799,eōs,masculine
800,sē,accusative
801,quā,nominative
802,absunt,singular
803,linguā,neuter
804,ab,adjective
805,dīvīsa,genitive
806,dīvīsa,genitive
807,dīvīsa,genitive
808,suīs,plural
809,suīs,plural
810,occāsum,singular
811,ad,preposition w/ acc.
812,dictum est,3rd person
813,Belgīs,feminine
814,bellum,genitive
815,bellum,plural
816,ab,preposition w/ abl.
817,quā,plural
818,quā,plural
819,ab,preposition w/ abl.
820,occāsum,accusative
821,Germānīs,plural
822,mercātōrēs,neuter
823,orientem,singular
824,continētur,active
825,ā,preposition w/ abl.
826,quī,nominative
827,quam,pronoun
828,dīvīsa,masculine
829,bellum,accusative
830,minimē,adjective
831,omnium,ablative
832,virtūte,ablative
833,in,preposition w/ abl.
834,quam,nominative
835,flūminis,genitive
836,atque,pronoun
837,obtinēre,semi-deponent
838,fortissimī,neuter
839,hōrum,feminine
840,partem,plural
841,dīvīsa,dative
842,absunt,imperative
843,flūmine,singular
844,flūmine,singular
845,Celtae,nominative
846,tertiam,superlative
847,initium,accusative
848,inter,preposition w/ acc.
849,quod,nominative
850,atque,conjunction
851,quī,reflexive
852,pars,genitive
853,est,perfect
854,mercātōrēs,accusative
855,incolunt,pluperfect
856,eōs,accusative
857,eōs,accusative
858,lēgātōs,masculine
859,occāsum,genitive
860,capit,semi-deponent
861,atque,pronoun
862,ipsōrum,feminine
863,proximī,feminine
864,inter,pronoun
865,partem,plural
866,montēs,ablative
867,quae,masculine
868,quae,masculine
869,flūminis,singular
870,flūminis,singular
871,Belgae,ablative
872,Belgārum,singular
873,flūmen,genitive
874,dictum est,masculine
875,animōs,dative
876,eōs,relative
877,tertiam,masculine
878,trēs,singular
879,trāns,preposition w/ abl.
880,contendunt,1st person
881,eōs,reflexive
882,quam,demonstrative
883,proximī,feminine
884,pertinet,perfect
885,linguā,plural
886,linguā,plural
887,quārum,masculine
888,quam,dative
889,orientem,neuter
890,montēs,singular
891,cotīdiānīs,accusative
892,proximī,feminine
893,omnēs,neuter
894,quae,dative
895,causā,plural
896,causā,plural
897,continētur,plural
898,continētur,plural
899,continētur,plural
900,trēs,neuter
901,trēs,neuter
902,eōs,1st person
903,eōs,1st person
904,orientem,active
905,quā,noun
906,Gallia,plural
907,ipsī,adverb
908,continētur,semi-deponent
909,reliquōs,comparative
910,suīs,demonstrative
911,absunt,deponent
912,ab,adverb
913,partem,masculine
914,trāns,pronoun
915,causā,masculine
916,dīvīsa,masculine
917,initium,masculine
918,eōrum,feminine
919,quā,noun
920,proeliīs,nominative
921,ea,1st person
922,fortissimī,accusative
923,proeliīs,genitive
924,Hispāniam,singular
925,Gallia,masculine
926,dīvidit,passive
927,pertinent,imperfect
928,ea,masculine
929,eōrum,indefinite
930,contendunt,imperfect
931,montēs,ablative
932,montēs,ablative
933,flūmen,ablative
934,in,adverb
935,partem,dative
936,prōvinciae,ablative
937,Celtae,accusative
938,atque,adjective
939,-que,adjective
940,spectant,1st person
941,capit,passive
942,sōlem,plural
943,atque,adjective
944,dē,pronoun
945,Belgae,neuter
946,spectat,plural
947,quārum,noun
948,fortissimī,feminine
949,Celtae,ablative
950,sē,1st person
951,pertinent,1st person
952,eōs,feminine
953,ipsī,ablative
954,appellantur,pluperfect
955,appellantur,pluperfect
956,oriuntur,plural
957,dīvīsa,deponent
958,sunt,future perfect
959,quibus,singular
960,quam,ablative
961,ea,masculine
962,Galliae,masculine
963,ab,pronoun
964,trāns,adverb
965,quā,demonstrative
966,spectat,subjunctive
967,montēs,genitive
968,pertinent,future perfect
969,partem,plural
970,oriuntur,singular
971,minimē,adjective
972,fīnibus,masculine
973,mercātōrēs,feminine
974,Gallia,neuter
975,cum,preposition w/ acc.
976,trāns,preposition w/ abl.
977,eam,dative
978,inter,pronoun
979,ūna,dative
980,ad,conjunction
981,atque,adjective
982,omnēs,ablative
983,omnēs,ablative
984,quod,noun
985,est,subjunctive
986,mercātōrēs,ablative
987,mercātōrēs,ablative
988,incolunt,active
989,proeliīs,genitive
990,ūna,superlative
991,orientem,semi-deponent
992,hōrum,singular
993,pertinent,pluperfect
994,absunt,2nd person
995,sōlis,feminine
996,dīvīsa,genitive
997,appellantur,active
998,absunt,imperative
999,inter,conjunction
1000,dīvīsa,masculine
1001,mercātōrēs,feminine
1002,partēs,ablative
1003,mercātōrēs,neuter
1004,sōlem,plural
1005,Belgīs,genitive
1006,Belgīs,genitive
1007,initium,genitive
1008,Belgārum,singular
1009,Belgārum,singular
1010,ad,conjunction
1011,appellantur,future
1012,initium,ablative
1013,reliquōs,superlative
1014,pertinent,singular
1015,absunt,singular
1016,Hispāniam,plural
1017,sunt,plural
1018,sunt,plural
1019,ā,conjunction
1020,Belgīs,accusative
1021,virtūte,nominative
1022,Germānīs,accusative
1023,partem,plural
1024,lēgibus,singular
1025,et,pronoun
1026,omnēs,ablative
1027,prohibent,future perfect
1028,pertinent,singular
1029,sunt,perfect
1030,sunt,perfect
1031,hōrum,feminine
1032,hōrum,feminine
1033,hōrum,feminine
1034,flūminis,masculine
1035,flūminis,masculine
1036,incolunt,plural
1037,incolunt,plural
1038,incolunt,plural
1039,longissimē,adjective
1040,et,pronoun
1041,sōlem,neuter
1042,fortissimī,ablative
1043,quam,demonstrative
1044,ipsī,noun
1045,flūminis,plural
1046,mercātōrēs,ablative
1047,fīnibus,masculine
1048,Germānīs,comparative
1049,flūmen,dative
1050,inter,adverb
1051,pertinent,1st person
1052,hī,reflexive
1053,spectat,subjunctive
1054,oriuntur,imperative
1055,oriuntur,imperative
1056,oriuntur,imperative
1057,omnis,accusative
1058,omnis,accusative
1059,suīs,positive
1060,oriuntur,singular
1061,quī,demonstrative
1062,ūna,comparative
1063,quā,plural
1064,eōs,feminine
1065,gerunt,2nd person
1066,incolunt,semi-deponent
1067,dictum est,active
1068,Gallia,genitive
1069,Gallia,genitive
1070,pertinet,passive
1071,Celtae,accusative
1072,animōs,singular
1073,obtinēre,subjunctive
1074,oriuntur,1st person
1075,sunt,subjunctive
1076,ab,adjective
1077,prōvinciae,ablative
1078,omnēs,ablative
1079,trēs,ordinal
1080,minimē,comparative
1081,longissimē,positive
1082,ūna,comparative
1083,spectat,deponent
1084,prōvinciae,ablative
1085,incolunt,1st person
1086,appellantur,2nd person
1087,quā,noun
1088,eōrum,interrogative
1089,Galliae,masculine
1090,hominēs,plural
1091,et,pronoun
1092,omnēs,neuter
1093,ūna,demonstrative
1094,sōlem,feminine
1095,obtinēre,participle
1096,-que,adjective
1097,hōrum,indefinite
1098,obtinēre,3rd person
1099,bellum,ablative
1100,Galliae,accusative
1101,Hispāniam,plural
1102,ab,adverb
1103,causā,plural
1104,proeliīs,singular
1105,quae,accusative
1106,Gallia,ablative
1107,-que,adjective
1108,prōvinciae,accusative
1109,appellantur,1st person
1110,cum,preposition w/ acc.
1111,ā,adjective
1112,ā,adjective
1113,eōrum,2nd person
1114,contendunt,deponent
1115,Hispāniam,masculine
1116,spectat,plural
1117,ab,conjunction
1118,ūnam,neuter
1119,sunt,1st person
1120,reliquōs,positive
1121,flūmine,dative
1122,gerunt,imperative
1123,cum,adverb
1124,cum,adverb
1125,cum,adverb
1126,Hispāniam,feminine
1127,spectant,deponent
1128,inter,conjunction
1129,quam,noun
1130,animōs,neuter
1131,dīvīsa,gerund
1132,eōs,singular
1133,Celtae,neuter
1134,mercātōrēs,singular
1135,continētur,active
1136,Celtae,ablative
1137,sōlem,dative
1138,occāsum,neuter
1139,occāsum,neuter
1140,quibus,pronoun
1141,Celtae,accusative
1142,in,adverb
1143,Galliae,plural
1144,trāns,adverb
1145,contendunt,1st person
1146,causā,plural
1147,dīvidit,pluperfect
1148,dīvīsa,accusative
1149,ab,preposition w/ acc.
1150,incolunt,semi-deponent
1151,ūnam,superlative
1152,atque,adjective
1153,lēgibus,dative
1154,oriuntur,singular
1155,eam,plural
1156,et,adjective
1157,atque,adjective
1158,Germānīs,singular
1159,sē,relative
1160,tertiam,plural
1161,omnium,superlative
1162,ipsōrum,reflexive
1163,pertinent,singular
1164,quī,neuter
1165,omnēs,neuter
1166,Hispāniam,accusative
1167,partem,nominative
1168,appellantur,active
1169,contendunt,not deponent
1170,absunt,singular
1171,ipsī,ablative
1172,reliquōs,singular
1173,eōs,interrogative
1174,spectant,1st person
1175,initium,masculine
1176,appellantur,1st person
1177,fīnibus,genitive
1178,omnium,singular
1179,causā,plural
1180,dīvīsa,gerund
1181,quam,noun
1182,appellantur,indicative
1183,trāns,pronoun
1184,dīvīsa,masculine
1185,quod,demonstrative
1186,oriuntur,not deponent
1187,quibus,accusative
1188,Germānīs,nominative
1189,oriuntur,1st person
1190,eōs,neuter
1191,ab,preposition w/ acc.
1192,ūnam,demonstrative
1193,quibus,reflexive
1194,pertinent,future perfect
1195,ūnam,plural
1196,minimē,comparative
1197,ā,preposition w/ acc.
1198,eōs,dative
1199,aliam,masculine
1200,Galliae,masculine
1201,Galliae,masculine
1202,absunt,singular
1203,absunt,singular
1204,absunt,singular
1205,absunt,singular
1206,Belgīs,nominative
1207,Belgīs,nominative
1208,Belgīs,nominative
1209,ad,pronoun
1210,ad,pronoun
1211,continētur,plural
1212,continētur,plural
1213,ūnam,accusative
1214,ūnam,accusative
1215,quod,noun
1216,ipsī,accusative
1217,quī,feminine
1218,flūminis,ablative
1219,flūmen,ablative
1220,suīs,comparative
1221,spectat,plural
1222,quārum,noun
1223,cum,pronoun
1224,est,imperative
1225,capit,plural
1226,mercātōrēs,ablative
1227,dīvīsa,comparative
1228,dīvīsa,comparative
1229,dīvīsa,comparative
1230,orientem,plural
1231,dīvidit,semi-deponent
1232,pars,ablative
1233,inter,conjunction
1234,obtinēre,gerund
1235,ab,adverb
1236,trēs,genitive
1237,eam,genitive
1238,hōrum,feminine
1239,hōrum,feminine
1240,sē,relative
1241,suīs,singular
1242,partem,dative
1243,fīnibus,neuter
1244,occāsum,plural
1245,quod,noun
1246,in,adverb
1247,in,adverb
1248,linguā,plural
1249,linguā,plural
1250,appellantur,plural
1251,appellantur,plural
1252,appellantur,plural
1253,ipsōrum,masculine
1254,trēs,neuter
1255,initium,feminine
1256,obtinēre,gerund
1257,in,adverb
1258,longissimē,positive
1259,occāsum,singular
1260,ea,dative
1261,pars,plural
1262,quae,reflexive
1263,proximī,ablative
1264,sē,1st person
1265,prōvinciae,accusative
1266,flūmen,genitive
1267,trāns,preposition w/ abl.
1268,est,subjunctive
1269,est,subjunctive
1270,montēs,feminine
1271,prohibent,singular
1272,quod,plural
1273,trēs,singular
1274,trēs,singular
1275,reliquōs,positive
1276,cotīdiānīs,genitive
1277,-que,adjective
1278,-que,adjective
1279,ipsōrum,feminine
1280,oriuntur,singular
1281,quā,accusative
1282,dē,adverb
1283,Germānīs,comparative
1284,Germānīs,comparative
1285,Germānīs,comparative
1286,Belgīs,genitive
1287,cotīdiānīs,genitive
1288,hī,dative
1289,contendunt,deponent
1290,Belgīs,feminine
1291,obtinēre,2nd person
